                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1425,                  1.026,                 1.0723,                0.89271,                 0.6343,                0.69491,                0.48722,                  1.243,                0.91794,                 1.2066,             0.00065079,             0.00065079,             0.00065079
                      2,                  1.043,                0.59398,                 1.0518,                0.71763,                0.51033,                  0.577,                0.38439,                 1.3489,                 1.4337,                 1.2684,              0.0012957,              0.0012957,              0.0012957
                      3,                 1.0711,                0.59149,                 1.0475,                0.87526,                0.73967,                0.82298,                0.53323,                 1.2948,                0.93844,                 1.1973,              0.0019187,              0.0019187,              0.0019187
                      4,                 1.0746,                0.58456,                 1.0631,                0.92694,                0.91753,                0.96082,                0.73262,                 0.8996,                0.64755,                 1.0312,               0.001901,               0.001901,               0.001901
                      5,                 1.0598,                0.57213,                 1.0396,                0.94536,                0.96523,                0.98572,                0.75029,                0.86719,                0.51213,                0.97843,               0.001901,               0.001901,               0.001901
                      6,                0.96024,                0.52651,                 1.0306,                0.97937,                0.98108,                0.99056,                0.77472,                0.81661,                0.46239,                0.96968,               0.001868,               0.001868,               0.001868
                      7,                0.98567,                0.51144,                 1.0317,                0.97783,                 0.9814,                0.99432,                0.79147,                0.80389,                0.45531,                0.96054,               0.001835,               0.001835,               0.001835
                      8,                 1.0071,                0.52335,                 1.0316,                0.98041,                0.98347,                0.99446,                0.77285,                0.85886,                0.45745,                0.97635,               0.001802,               0.001802,               0.001802
                      9,                0.96867,                0.50338,                 1.0128,                 0.9815,                0.98653,                0.99469,                0.75117,                0.92666,                0.43993,                 1.0001,               0.001769,               0.001769,               0.001769
                     10,                0.92045,                0.47265,                0.99717,                 0.9958,                0.98061,                 0.9945,                0.78465,                0.80222,                0.41264,                0.94855,               0.001736,               0.001736,               0.001736
                     11,                0.95266,                0.48718,                 1.0174,                0.99166,                0.98248,                0.99453,                0.76477,                0.84459,                 0.4679,                0.97897,               0.001703,               0.001703,               0.001703
                     12,                0.91998,                0.45769,                0.99483,                0.99442,                 0.9814,                0.99386,                0.80492,                0.74493,                0.39493,                0.93092,                0.00167,                0.00167,                0.00167
                     13,                0.91705,                0.45955,                0.99874,                0.99163,                0.98967,                0.99471,                0.78044,                0.80947,                0.41397,                0.96811,               0.001637,               0.001637,               0.001637
                     14,                0.93004,                 0.4544,                 1.0008,                 0.9912,                0.98347,                 0.9935,                 0.7887,                0.78703,                0.38158,                0.95347,               0.001604,               0.001604,               0.001604
                     15,                0.92017,                0.46281,                 1.0017,                0.99688,                0.98554,                0.99475,                0.80051,                0.78225,                0.37506,                0.94358,               0.001571,               0.001571,               0.001571
